variavel;pearson;p_pearson;spearman;p_spearman;n;bem_correlacionada
desconto_global_pct;0.2611;0.0;0.7605;0.0;666;True
media_ratio_itens;-0.0409;0.2914;-0.6919;0.0;666;True
media_desconto_item;0.1128;0.0036;0.6357;0.0;666;True
interact_part_logval;0.1511;0.0016;0.5261;0.0;436;True
valorEstimado;0.1177;0.014;0.5195;0.0;436;True
log_valorEstimado;0.1293;0.0069;0.5194;0.0;436;True
economia_pct_licit;0.0145;0.7628;0.5095;0.0;436;True
log_qtd_participantes;0.1018;0.0085;0.4853;0.0;666;True
qtd_participantes;0.122;0.0016;0.4853;0.0;666;True
log_valorHomologado;0.1094;0.0047;0.4617;0.0;666;True
valorHomologado;0.1185;0.0022;0.4616;0.0;666;True
pct_itens_abaixo_ref;0.1024;0.0082;0.3827;0.0;666;True
log_dias_tramitacao;0.0853;0.0282;0.3526;0.0;663;True
dias_tramitacao;0.0764;0.0493;0.3526;0.0;663;True
houve_disputa;0.0777;0.045;0.3338;0.0;666;True
modalidade_cod;0.058;0.1346;0.2613;0.0;666;False
tipoObjeto_cod;0.0007;0.9848;0.2408;0.0;666;False
funcao_cod;-0.1076;0.1517;-0.2279;0.0021;179;False
formaJulgamento_cod;0.0758;0.0507;0.2279;0.0;666;False
log_n_vencedores;0.0706;0.0685;0.1628;0.0;666;False
n_vencedores_distintos;0.1139;0.0033;0.1628;0.0;666;False
amplitude_desconto_item;0.0455;0.2414;0.1164;0.0026;666;False
orgao_cod;-0.0497;0.5092;-0.084;0.2635;179;False
log_n_itens;0.0329;0.3971;0.0806;0.0376;666;False
n_itens_licitacao;0.0579;0.1358;0.0806;0.0376;666;False
