cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
30.758.953/0001-84;39754;Cama Hospitalar, fabricada em ferro pintado, Tubo 1.1/4, T;2;GRB ENGENHARIA LTDA;50;UN;30000;30000;600;600;itensVencedores_089f4f64-407a-46b7-9fa7-60e1717d5a73.csv
22.873.841/0001-46;39754;Cama Hospitalar, fabricada em ferro pintado, Tubo 1.1/4, T;1;SERRALHERIA ALTO RIO MAINA EIRELI;70;UN;42000;42000;600;600;itensVencedores_089f4f64-407a-46b7-9fa7-60e1717d5a73.csv
81.573.925/0001-23;39751;ServiÃ§o  Hotelaria/Hospedagem c/ cafÃ© da manhÃ£ e lavanderia;1;ZATA PALACE HOTEL LTDA. - ME;3600;DIARI;284400;284400;79;79;itensVencedores_0d9321e7-745b-4c70-9715-98c34b3070a8.csv
36.232.948/0001-10;10380423;Projetos de engenharia, ou complementares: estrutural, hidro;1;RDR ENGENHARIA PROJETOS E CONSULTORIA LTDA;1;SV;8900;8900;8900;8900;itensVencedores_12cacb6c-0b5e-4a8c-9824-470c988714ae.csv
04.283.623/0001-70;39757;Mesa tipo escrivaninha para Sala administraÃ§Ã£o;1;MOVEIS REQUINTE SOB MEDIDA LTDA;3;UN;2208;2208;736;736;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39758;ArmÃ¡rio em MDF para Sala administraÃ§Ã£o;2;MOVEIS REQUINTE SOB MEDIDA LTDA;2;UN;1740;1740;870;870;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39759;Mesa tipo escrivaninha em MDF para RecepÃ§Ã£o;3;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;736;736;736;736;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39760;ArmÃ¡rio tipo escaninho para DepÃ³sito Enfermagem;4;MOVEIS REQUINTE SOB MEDIDA LTDA;2;UN;3966;3966;1983;1983;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39761;BalcÃ£o de atendimento em MDF para Sala de Enfermagem 01;5;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;1895;1895;1895;1895;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39762;BalcÃ£o de apoio em MDF para Sala de Enfermagem 01;6;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;1360;1360;1360;1360;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39763;BalcÃ£o estaÃ§Ã£o de trabalho em MDF para Sala de Enfermagem 02;7;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;2386;2386;2386;2386;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39764;Mesa escrivaninha em MDF para ConsultÃ³rio mÃ©dico;8;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;736;736;736;736;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39765;BalcÃ£o estaÃ§Ã£o de trabalho em MDF para Semi- intensiva 01;9;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;3369;3369;3369;3369;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39766;BalcÃ£o em L em MDF para Semi- intensiva 02;10;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;2527;2527;2527;2527;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39767;Mesa em MDF para RefeitÃ³rio;11;MOVEIS REQUINTE SOB MEDIDA LTDA;3;UN;2940;2940;980;980;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39768;ArmÃ¡rio tipo escaninho em MDF para Paramento;12;MOVEIS REQUINTE SOB MEDIDA LTDA;2;UN;3146;3146;1573;1573;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39769;ArmÃ¡rio aberto em MDF para Paramento;13;MOVEIS REQUINTE SOB MEDIDA LTDA;2;UN;1740;1740;870;870;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39770;Mesa em MDF para FarmÃ¡cia;14;MOVEIS REQUINTE SOB MEDIDA LTDA;2;UN;1472;1472;736;736;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39771;BalcÃ£o estaÃ§Ã£o de trabalho para 02 computadores para Enferma;15;MOVEIS REQUINTE SOB MEDIDA LTDA;1;UN;2386;2386;2386;2386;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39772;BalcÃ£o de pia, com 4 gavetas com trilho telescÃ³pico;16;MOVEIS REQUINTE SOB MEDIDA LTDA;6;UN;4080;4080;680;680;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39773;Bancada de apoio para Sala EsterilizaÃ§Ã£o e RX;17;MOVEIS REQUINTE SOB MEDIDA LTDA;3;UN;4080;4080;1360;1360;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
04.283.623/0001-70;39774;Cama de solteiro em MDF reforÃ§ado para Descanso plantonistas;18;MOVEIS REQUINTE SOB MEDIDA LTDA;12;UN;11760;11760;980;980;itensVencedores_22c4b78d-50c9-4947-81b9-6b1edc61102e.csv
