idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
255;2019-01-28;1;5486.01;0; ; ;liquidacoes_00013a13-f88c-4e0c-9b58-b99fa8b2cefd.csv
4367;2019-05-31;1;14439.05;0; ;retencoesLiquidacao_0322f326-2f0e-4dea-bbe4-cf5231cf2e58.csv;liquidacoes_0001b7e1-c7bd-4680-900a-160627a0c80d.csv
5654;2019-06-28;1;15178.7;0; ;retencoesLiquidacao_638c851b-1e77-48b2-857b-6cc0a98dfbb9.csv;liquidacoes_0001b7e1-c7bd-4680-900a-160627a0c80d.csv
5928;2019-07-01;1;3832.25;0; ;retencoesLiquidacao_b1fd40c2-01d2-4c67-aa19-be1e94aabed2.csv;liquidacoes_0001b7e1-c7bd-4680-900a-160627a0c80d.csv
6679;2019-07-31;1;5350;0; ;retencoesLiquidacao_82af6654-c46a-4d36-9630-e05166c83261.csv;liquidacoes_0001b7e1-c7bd-4680-900a-160627a0c80d.csv
3546;2019-08-13;1;16067.2;0; ; ;liquidacoes_00021d67-fb66-4be8-88a2-aa2d7d8088ee.csv
3946;2019-08-30;1;4836;0; ; ;liquidacoes_00021d67-fb66-4be8-88a2-aa2d7d8088ee.csv
4479;2019-06-03;1;3000;0; ; ;liquidacoes_0014d62b-e0e6-4ca9-a6e2-369300d260dc.csv
4059;2019-09-12;1;1890;0; ; ;liquidacoes_0020fbc1-7479-48ac-a279-055b548e3997.csv
2502;2019-06-19;1;3667.09;0; ;retencoesLiquidacao_28b7278b-6233-42eb-a899-ae8780863f48.csv;liquidacoes_0022e5ff-ed3c-48f2-b421-59e1f8c8f177.csv
3038;2019-07-16;1;25235.25;0; ; ;liquidacoes_0026c4b7-1cbd-4d34-b5e7-8f11dab86e5b.csv
5778;2019-07-09;1;10732.25;0; ; ;liquidacoes_0026c53c-5ba6-4a94-ad0b-4db60ca923bf.csv
780;2019-06-26;1;390.4;0; ;retencoesLiquidacao_8b205921-5c97-4b60-b2eb-04012183a6a2.csv;liquidacoes_002c3e7b-de87-4c63-a3c2-201d619efce3.csv
4233;2019-06-03;1;67045;0; ;retencoesLiquidacao_e6645335-2b79-4004-ac8d-a2adeba33042.csv;liquidacoes_002ebefe-9a15-451e-961b-c9491aa64419.csv
574;2019-02-14;1;2250;0; ; ;liquidacoes_002f7449-01a1-4766-971b-89fe1c74e48f.csv
145;2019-01-17;1;21990;0; ;retencoesLiquidacao_ec948b38-a30f-426a-979f-887a1e8498f7.csv;liquidacoes_0034067d-2dbd-4b9a-a904-571cb806f7ac.csv
2046;2019-05-22;1;3603.25;0; ;retencoesLiquidacao_78d47e05-8dd7-4b53-8cc3-9e8b605ba9ae.csv;liquidacoes_00375e1f-48fa-4b0a-914d-4e0a1a7e2218.csv
11811;2019-12-31;1;1029.43;0; ; ;liquidacoes_003a0583-8f8b-44d1-a1d6-467d744fe065.csv
7125;2019-08-19;1;4657.3;0; ;retencoesLiquidacao_5aa3172a-68b7-4972-b1a3-5827371a7cc8.csv;liquidacoes_003d139a-d8cd-4ae2-a727-23b71e62d4bc.csv
2878;2019-07-01;1;1000;0;anulacoesLiquidacao_359a5aee-58c6-473f-b353-f3964269fc54.csv; ;liquidacoes_003ef84b-36f8-406b-8621-6baada870ff9.csv
6690;2019-07-31;1;1488.74;0; ; ;liquidacoes_003f9f24-94fa-4f92-99dc-09fb17ae9a2f.csv
11557;2019-12-19;1;6387.5;0; ; ;liquidacoes_0040df9a-b2dc-446e-a4c1-533cc7846f6f.csv
8046;2019-09-17;1;4890;0; ; ;liquidacoes_00521f61-5e81-4280-a95f-e41bda50b2bd.csv
