idLiquidacao;parcelaEmpenho;dataPagamento;tipoPagamento;banco;agenciaBancaria;contaCorrente;historico;valorPagamento;anulacoesPagamento;retencoesPagamento;origem_arquivo
2641;1;2019-04-23;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;134.36; ; ;pagamentos_0002b0c8-0c06-4e3b-beb4-7c09e1518fa3.csv
8783;1;2019-10-16;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;307.75; ; ;pagamentos_000d7bdb-5e18-4b0c-8ac2-cf7d7abea6ec.csv
3374;1;2019-06-06;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.836-X; ;124.5; ; ;pagamentos_001daffc-cbc5-46d1-87b4-11bb5799f8d1.csv
11050;1;2019-12-02; ; ; ; ; ;10.22; ;retencoesPagamento_b7c99c8d-eea1-4b92-a67f-7d73e9a98109.csv;pagamentos_002932bf-f7cc-4234-9125-581e5087cb48.csv
11050;1;2019-12-23;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;615.620-7; ;277.78; ; ;pagamentos_002932bf-f7cc-4234-9125-581e5087cb48.csv
4805;1;2019-06-24;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;85.96; ; ;pagamentos_003a83cb-a1cb-4e15-b183-ccae66496134.csv
8897;1;2019-09-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;615.620-7; ;814359.02; ; ;pagamentos_003c122c-bbf7-4e0d-9e52-3068e48580c8.csv
6897;1;2019-07-31; ; ; ; ; ;273.52;anulacoesPagamento_b1db0d17-7722-419e-93c0-f8df9a2684a9.csv;retencoesPagamento_b04dbdd7-8a36-423f-8f7f-56030527e55d.csv;pagamentos_00495c20-1ddd-4bd8-b4cd-c661b99552f1.csv
9928;1;2019-11-14; ; ; ; ; ;273.59; ;retencoesPagamento_95fde7b9-3d28-49ea-82aa-98a9570e1755.csv;pagamentos_00495c20-1ddd-4bd8-b4cd-c661b99552f1.csv
9928;1;2019-11-20;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;647.031-4; ;3708.83; ; ;pagamentos_00495c20-1ddd-4bd8-b4cd-c661b99552f1.csv
7234;1;2019-08-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;104.13; ; ;pagamentos_004cc597-3ca4-4f1e-9144-75e39b6c2da3.csv
8485;1;2019-09-26; ; ; ; ; ;7930.52; ;retencoesPagamento_518dbe37-7813-497d-aecb-84c641d0d119.csv;pagamentos_004ec8d2-b181-42f3-99f7-46392e4cb8fe.csv
8485;1;2019-09-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;20.683-0; ;13191.33; ; ;pagamentos_004ec8d2-b181-42f3-99f7-46392e4cb8fe.csv
1678;1;2019-05-21;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;545; ; ;pagamentos_0052e8a7-2fc7-4dd7-a288-2f4a4ad26454.csv
10685;1;2019-12-23;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;66167; ; ;pagamentos_005476ae-0f0d-4762-a0bb-e5ff2cb7b8d2.csv
3597;1;2019-09-02;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1500; ; ;pagamentos_0059e761-3ed2-4d2f-8a35-33ec9d7ecbf4.csv
4451;1;2019-10-28;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;18150; ; ;pagamentos_0059e761-3ed2-4d2f-8a35-33ec9d7ecbf4.csv
1947;1;2019-05-27;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;2797; ; ;pagamentos_006ec30a-78bc-4302-928a-1fe005250456.csv
5287;1;2019-06-28;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.592-8  ; ;5.09; ; ;pagamentos_00749084-eed9-4d8e-b020-e6bb5bbc6a14.csv
6514;1;2019-07-31;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.592-8  ; ;5.09; ; ;pagamentos_00749084-eed9-4d8e-b020-e6bb5bbc6a14.csv
7553;1;2019-08-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.592-8  ; ;10.44; ; ;pagamentos_00749084-eed9-4d8e-b020-e6bb5bbc6a14.csv
9642;1;2019-10-31;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.592-8  ; ;5.22; ; ;pagamentos_00749084-eed9-4d8e-b020-e6bb5bbc6a14.csv
