anoRetencao;dataRetencao;valorRetido;origem_arquivo
2019;2019-05-16;36.16;retencoesLiquidacao_00035276-cbfc-48fe-a1d1-28b679428530.csv
2019;2019-04-02;45.7;retencoesLiquidacao_00081782-d9be-4f85-a23e-58ce6bc78bac.csv
2019;2019-04-02;19.05;retencoesLiquidacao_00081782-d9be-4f85-a23e-58ce6bc78bac.csv
2019;2019-04-02;11.43;retencoesLiquidacao_00081782-d9be-4f85-a23e-58ce6bc78bac.csv
2019;2019-11-29;219.56;retencoesLiquidacao_0009a5f8-795a-4605-be4f-a8097e009024.csv
2019;2019-11-01;931.26;retencoesLiquidacao_001941e1-f49a-4a23-8c61-49f63542869b.csv
2019;2019-02-22;6850.33;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;62.52;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;20;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;1457.28;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;699.26;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;3433.71;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;1856.73;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;5;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;474;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;4456.16;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;949.6;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-02-22;1114.04;retencoesLiquidacao_001e02e6-b8cf-4f4f-bd44-32ee02e15270.csv
2019;2019-10-15;45.29;retencoesLiquidacao_0041df6e-822d-47ef-832b-b2a87dc244af.csv
2019;2019-09-19;54.08;retencoesLiquidacao_0067cb31-c962-4b57-9588-ea0129d3e948.csv
