numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;66.7;2020-04-27;parcelas_00026e46-e498-431b-987d-3b8f75acf5fa.csv
1;525;2020-02-26;parcelas_0003d970-8b19-4a8c-a722-31ee264d421c.csv
1;2975;2020-02-26;parcelas_00043ee2-df19-491a-a510-2d12f1dd04ae.csv
1;27720;2020-01-02;parcelas_00096513-ed00-4044-999c-d843b5862d43.csv
1;268.4;2020-09-29;parcelas_000ae0d3-0fca-4631-ae6c-ccada2b28cb8.csv
1;79.79;2020-10-01;parcelas_000ce6d9-fc3e-4f8b-9e3a-a143d918916e.csv
1;238170.15;2020-12-21;parcelas_001268e6-4d44-40ea-b3ee-e68b2d6681c3.csv
1;66.7;2020-04-09;parcelas_00161933-bad1-448c-a97a-c60776cafb9c.csv
1;32236.39;2020-11-27;parcelas_001c0971-1b1e-4f12-a4e8-af9bac466b96.csv
1;103.2;2020-08-17;parcelas_002206a2-105e-438d-886d-072d4b7e25ea.csv
1;47600;2020-10-06;parcelas_0024b63b-118f-40e8-9f61-14a67a194867.csv
1;5090.1;2020-08-10;parcelas_002770a6-f64c-4e84-a363-e22c29495016.csv
1;560.83;2020-11-03;parcelas_002c88d7-1a9b-4e95-8d80-56b9aa1badd0.csv
1;4600;2020-09-09;parcelas_002d13a1-b184-4919-be40-d645f181b10a.csv
1;39.89;2020-11-20;parcelas_002e2790-9d89-404f-b1cf-6f68ff9e3424.csv
1;20385.54;2020-04-30;parcelas_0032b993-f572-4a79-a3e8-b735fa46bf0c.csv
1;79.79;2020-11-13;parcelas_0032dfe8-b987-4eea-b64e-f23ff0892e98.csv
1;261.25;2020-05-27;parcelas_003553e6-a13e-41cf-8742-432aca586844.csv
1;68284.44;2020-11-27;parcelas_0043f1d6-c5b4-41c4-94b9-05a24595d273.csv
1;100000;2020-01-02;parcelas_0046392d-9377-489c-8328-06747d16ecd5.csv
1;9981;2020-05-05;parcelas_00472359-8d9d-4ca7-9a0b-1a3b4183bae4.csv
1;2838.85;2020-10-21;parcelas_0047c00c-fdd4-4fed-8330-6b75003efd32.csv
1;75710.83;2020-10-28;parcelas_0048ca5c-2423-4672-be20-0ac0432f3de1.csv
1;66.7;2020-01-15;parcelas_004cf886-9de1-4112-8640-b52d8947e99a.csv
1;6833.98;2020-11-16;parcelas_00502917-76fc-4fc3-89fb-b9b7de50a43a.csv
1;40000;2020-04-23;parcelas_005384f5-375b-4eaf-9cca-39f532344779.csv
1;31871.78;2020-02-21;parcelas_00583595-e9ee-4da3-8a10-3e07996a7417.csv
1;1131.58;2020-07-03;parcelas_005883b3-d985-4ed2-94d4-840f87ed831c.csv
1;1600;2020-11-26;parcelas_00607a8d-9291-4bf2-a2d7-45853f68595f.csv
1;79.79;2020-01-16;parcelas_006d7a11-9272-4b74-9b57-854f982ec854.csv
1;1928.57;2020-08-27;parcelas_00749166-2901-4f79-ba87-f5d91187f488.csv
1;175;2020-10-28;parcelas_007d2b07-345f-49a9-92ae-c834a65cfe6c.csv
1;35000;2020-10-28;parcelas_00852561-c0b3-4e1f-9125-6c881fde7d0a.csv
1;145.71;2020-06-09;parcelas_0089a85b-f7ad-4f4e-96b1-96e99abc354e.csv
1;66.7;2020-05-21;parcelas_0090fb21-66e7-4b23-a949-e29dc806fe05.csv
1;30164.15;2020-08-27;parcelas_0099241a-256d-43ff-9d05-761ba87822ec.csv
1;600;2020-04-20;parcelas_00a1d552-46d7-4747-bb8f-9bc8f1ef414c.csv
1;254.12;2020-10-30;parcelas_00a3312f-5844-4e4f-b13f-c6e226551bb9.csv
1;23195.8;2020-11-23;parcelas_00abc381-5183-4ae9-85fd-60a38b346be3.csv
1;29.49;2020-08-10;parcelas_00af83c5-010f-45dd-bb6f-b67a6a43a8dd.csv
1;804003.46;2020-02-26;parcelas_00b3b279-7ef0-4b86-ba29-9c5232ba9bfa.csv
1;423130.56;2020-03-19;parcelas_00b5f60c-42f2-4551-8654-60d5ae7facaf.csv
1;2014.42;2020-10-30;parcelas_00b7d2c3-2822-486d-8763-4a1ff14495a8.csv
1;3775.01;2020-10-28;parcelas_00b9eae1-0c03-4b58-bc83-82c40baddf55.csv
1;10456.25;2020-12-21;parcelas_00ba397e-e4d0-4520-98cf-903b6e6a8519.csv
1;66.7;2020-05-29;parcelas_00ba9d62-9674-4619-af16-ed879fcd08b3.csv
1;8195;2020-11-20;parcelas_00bb3b13-8dc3-4193-87d0-e311fbc7d72c.csv
1;1955;2020-07-09;parcelas_00bb54d0-bfd2-4f3d-ab0b-0ce253c5904b.csv
1;1400;2020-07-30;parcelas_00c5554d-b1d9-4dcb-9e14-f8688c19ce51.csv
1;565;2020-10-21;parcelas_00ce5cea-54aa-4364-913f-6e351f28da2b.csv
1;5063.34;2020-01-02;parcelas_00d25828-6efb-4bdb-9b81-c053f3737876.csv
1;216;2020-03-02;parcelas_00d69d92-29e4-4611-802c-1d8b40ce4478.csv
1;5985.01;2020-07-30;parcelas_00e28a22-ff97-4e6b-815a-330074495605.csv
1;164846;2020-06-17;parcelas_00e473bf-3c3d-417e-9962-b63d6b8259e9.csv
1;1107.6;2020-09-24;parcelas_00e70445-04db-48a1-a2d7-61e08e753bd5.csv
1;1754.4;2020-02-07;parcelas_00ee79b1-bcfc-4567-aa9d-e6cfd6bb9cff.csv
1;6072.6;2020-11-24;parcelas_00f28f2a-9605-4983-9f6e-d96dfb5e7d9b.csv
1;7574;2020-06-26;parcelas_00f45f5c-73a0-470f-8c70-3c6b565e4214.csv
1;201006.87;2020-02-26;parcelas_00f90545-4934-4785-8128-c60276b0f294.csv
1;41372.23;2020-04-29;parcelas_0106af3b-1335-482c-99e9-c76a0f6f6f58.csv
1;135000;2020-04-30;parcelas_010947e9-8312-444b-9d6b-49eb3f4c916b.csv
1;14289;2020-10-21;parcelas_010c6819-e66b-45cf-ab42-be0f3113fcf8.csv
1;1115.45;2020-01-02;parcelas_010d5a93-614d-4d20-8442-ecce4aab5a1e.csv
1;695.27;2020-09-28;parcelas_01164aa8-2fb1-4384-8392-ed5247a6f24b.csv
1;3720.65;2020-11-03;parcelas_01228f2b-7f9a-448b-8492-742f9b21ce24.csv
1;324.8;2020-11-04;parcelas_012ad51e-24c3-4abd-8a3f-7284899ec2db.csv
1;2000;2020-02-26;parcelas_012ca56c-a83c-46d5-a7c7-1bb67afde04b.csv
1;115.91;2020-07-07;parcelas_01317157-cff9-4064-b5df-6633689e2412.csv
1;84600;2020-01-16;parcelas_01359cf3-ad83-4b43-bd62-24993d8dcad7.csv
1;7140;2020-05-05;parcelas_01366288-a2ee-4b1b-ad91-2065012f54c8.csv
1;66.7;2020-04-15;parcelas_0140aee5-95e2-4943-9d10-cc7c9617ec52.csv
