anoProcesso;numeroLicitacao;origem_arquivo
2018;256;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2018;375;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;1;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;21;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;62;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;179;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2021;179;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2021;180;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;64;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2020;119;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2021;56;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2023;93;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2023;282;processos_009fce3d-cc2a-4cc0-be34-63a6cf0e78e5.csv
2013;78;processos_0252b56b-d265-4325-874a-82b52bb58998.csv
2016;210;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2016;68;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2018;6;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2018;58;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2018;71;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2018;82;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2019;45;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2019;62;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2019;73;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2020;69;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2020;90;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2020;91;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2021;29;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2021;79;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2022;21;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2023;19;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2024;2;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2024;31;processos_02c12983-932d-480d-869d-5421f3ee6994.csv
2014;30;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2014;34;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2015;23;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2015;24;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;8;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2014;262;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2015;67;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2015;96;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2015;237;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2016;67;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2016;87;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2016;130;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2016;175;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;89;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;168;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;171;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;225;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;230;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2017;239;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;30;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;31;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;105;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;126;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;164;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;168;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;172;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;178;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;198;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;207;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;221;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;230;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;245;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;259;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;328;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;329;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2018;351;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2019;82;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2019;94;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2019;121;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2019;123;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2020;174;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
2020;284;processos_05dd55d0-dd26-41d8-a493-6f9c3d907252.csv
