cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
83.661.074/0001-04;38648;ServiÃ§o especializado em atenÃ§Ã£o Ã¡ rede de Cuidados com a Pe;1;FUNDACAO EDUCACIONAL DE CRICIUMA;12;MES;1680000;1680000;140000;140000;itensVencedores_05790ba9-23ae-46d8-9c68-969fd4c6f944.csv
06.354.402/0001-70;663;CRÃDITOS UTILIZADOS NO MES;1;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;12;MES;124722;124722;10393.5;10393.5;itensVencedores_33cf5a66-910c-41df-8de3-839553dbc589.csv
04.096.738/0001-55;1013846;Livros para uso no CREAS;1;EDITORA AMIGOS DA NATUREZA;7000;UNI;23380;23380;3.34;3.34;itensVencedores_39966c5b-9e71-47de-b6c5-d94be827bc81.csv
11.515.243/0001-89;1517;ContrataÃ§Ã£o de Produtora para realizaÃ§Ã£o do show (Fernando;1;F & S - PRODUCOES ARTISTICAS LTDA;1;SERV;240000;240000;240000;240000;itensVencedores_3cdee726-8df8-4e3c-b12b-6ba94899fbc1.csv
06.354.402/0001-70;1013907;AquisiÃ§Ã£o de recargas de Vale Transporte para os usuÃ¡rios do;1;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;12;MES;128700;128700;10725;10725;itensVencedores_73f758df-abab-445d-b495-7921a9c677d6.csv
83.052.191/0001-62;10377543;AssistÃªncia TÃ©cnica e ExtensÃ£o Rural .;1;EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL;12;MES;44414.64;44414.69;3701.22;3701.2241;itensVencedores_804418da-c641-4ad8-bdde-7849f96938e9.csv
01.289.471/0001-24;10377660;Show artÃ­stico da banda musical MOINHOS DE VENTO.;1;FASE2 PRODUÃÃES & EVENTOS LTDA;1;SV;9650;9650;9650;9650;itensVencedores_83d0a009-9597-455c-adf4-391ba5795239.csv
86.532.751/0001-74;37778;ContrataÃ§Ã£o de serviÃ§o hospitalar psiquiatrico para atendime;1;HOSPITAL DE CARIDADE SAO ROQUE;1;SER;188611.2;188611.2;188611.2;188611.2;itensVencedores_8736e620-c06b-456d-a5de-b569c89bbfa2.csv
06.354.402/0001-70;10377170;AquisiÃ§Ã£o de recargas de vale transporte para os alunos da R;1;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;1449900;UND;2827305;2827305;1.95;1.95;itensVencedores_a4dc44ba-11ed-484b-96ea-22e6fe3d7dd0.csv
06.354.402/0001-70;10377171;Recargas de vale transporte para os alunos da Rede Municipal;1;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;241860;UND;471627;471627;1.95;1.95;itensVencedores_d69e00c2-be9b-4f42-be76-6f38e4e56fa2.csv
