descricao;id;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
ConstruÃ§Ã£o de edificaÃ§Ã£o do prÃ©dio da Unidade BÃ¡sica de SaÃºd;0;1;PERDEU; ;1288155.34;1288155.34;itensProposta_0010df24-e6ab-43fb-b039-122aafde2c54.csv
COMPUTADOR COMPLETO;4383248;5;PERDEU;UND;17350;3470;itensProposta_0018ec17-531e-463f-a9c8-dbbd4bf5fe9a.csv
SISTEMA OPERACIONAL;4383249;5;PERDEU;UND;5745;1149;itensProposta_0018ec17-531e-463f-a9c8-dbbd4bf5fe9a.csv
PEQUENOS REPAROS;0;1;VENCEU; ;36;36;itensProposta_002c4e3d-68db-4e04-9551-d4ac68269e51.csv
AmpliaÃ§Ã£o de uma Ã¡rea de 795,49mÂ², na E.M.E.I.E.F. PROFÂª. IR;0;1;PERDEU; ;1179197.28;1179197.28;itensProposta_002e2262-ff09-4b6a-82ea-d5895c471ae0.csv
Consultorio Portatil;4439080;7;VENCEU;UN;72730;10390;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
LASER DE ALTA E BAIXA. COM SISTEMA WIRELESS SEM FIO;4439081;4;VENCEU;UN;14600;3650;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Aparelho Digital De Analgesia inalatoria;4439082;1;CANCELADO;UN;12900;12900;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
RAIO-X PORTÃTIL;4439083;1;VENCEU;UN;14500;14500;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Fibras para Terapia FotodinÃ¢mica (PDT).;4439084;15;PERDEU;CX;4650;310;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
TOP DAM - barreira gengival;4439085;25;DESCLASSIFICADO;KIT;925;37;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Lima Flex-file 1Âª sÃ©rie nÂº 15 de 21 mm;4439087;80;VENCEU;CX;1680;21;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Ponta Irrigadora;4439088;60;VENCEU;PCT;900;15;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Sugador EndodÃ´ntico DescartÃ¡vel;4439089;40;VENCEU;PCT;676;16.9;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Spray congelante -50Âº para teste de vitalidade pulpar;4439090;30;VENCEU;FR.;1260;42;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Azul de Metileno Chimiolux;4439091;15;PERDEU;CX;2400;160;itensProposta_00321035-bade-4cd3-a2d5-8bf9c4ebeb4a.csv
Tecido com composiÃ§Ã£o do tipo PA (50% poliÃ©ster 50% algodÃ£o);0;98;VENCEU; ;4576.6;46.7;itensProposta_00374b0c-8611-4ae6-b10d-a2a294dd6624.csv
TRILHO DE ALUMINIO;0;258;VENCEU; ;8077.98;31.31;itensProposta_00374b0c-8611-4ae6-b10d-a2a294dd6624.csv
RodÃ­zido para cortina de tecnil maxi na cor branca;0;550;VENCEU; ;209;0.38;itensProposta_00374b0c-8611-4ae6-b10d-a2a294dd6624.csv
Persianas PH25 na cor Creme;0;15.47;VENCEU; ;2212.21;143;itensProposta_00374b0c-8611-4ae6-b10d-a2a294dd6624.csv
