descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
Sulfato ferroso 40mg cpr, em blister.;1267911;239;900000;ATIVO;COMPRIMIDO;30510;0.0339;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Albendazol 400mg comprimido mastigÃ¡vel, em blister.;1268029;15;15000;ATIVO;COMPRIMIDO;4440;0.296;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Betametasona, diproprionato +  betametasona fosfato, injetÃ¡v;1268030;40;8000;ATIVO;AMP;22800;2.85;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Carbonato de cÃ¡lcio 1250 mg - equivalente a 500mg Ca++elemen;1268031;55;180000;ATIVO;COMPRIMIDO;12600;0.07;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Carbonato de cÃ¡lcio 500+ vitamina D 400 UI, em blister de no;1268032;56;800000;ATIVO;COMPRIMIDO;82400;0.103;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Ceftriaxona 500 mg intramuscular (IM) injetÃ¡vel, com diluent;1268033;65;2000;ATIVO;Frasco ampola;16200;8.1;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Digoxina 0,25mg cpr, em blister.;1268034;94;250000;ATIVO;COMPRIMIDO;19125;0.0765;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Hidroclorotiazida 25mg cpr, em blister.;1268035;140;2300000;ATIVO;COMPRIMIDO;46000;0.02;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Hidroxido de aluminio200mg + hidroxido de magnÃ©sio 200mg com;1268036;144;20000;ATIVO;COMPRIMIDO;5200;0.26;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Levofloxacino 500mg cpr, em blister.;1268037;160;6000;ATIVO;COMPRIMIDO;3144;0.524;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Noretisterona 0,35mg cpr, em blister com 35 cpr.;1268038;202;500;ATIVO;BLISTER;2325;4.65;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Paracetamol 200mg/mL soluÃ§Ã£o oral, frasco 15ml.;1268039;209;20000;ATIVO;FRASCO;17600;0.88;itens_01231a43-6963-4a62-b944-a3d91e944dc2.csv
Luva LÃ¡tex nÃ£o EstÃ©ril p/ Procedimento - Tamanho  PP;1267418;6;2560;ATIVO;CAIXA;135321.6;52.86;itens_01233b46-c56f-4bed-8267-a68ac77cefe6.csv
Luva LÃ¡tex nÃ£o EstÃ©ril  p/Procedimento Tamanho M;1267419;4;5440;ATIVO;CXA;287558.4;52.86;itens_01233b46-c56f-4bed-8267-a68ac77cefe6.csv
Luva LÃ¡tex nÃ£o  EstÃ©ril  p/ Procedimento  Tamanho G;1267420;3;1920;ATIVO;CXA;101491.2;52.86;itens_01233b46-c56f-4bed-8267-a68ac77cefe6.csv
Luva LÃ¡tex nÃ£o EstÃ©ril p/ Procedimento - Tamanho  P.;1267422;5;5760;ATIVO;CAIXA;304473.6;52.86;itens_01233b46-c56f-4bed-8267-a68ac77cefe6.csv
Meio-fio ou Guia de Concreto;1309452;2;10000;ATIVO;METRO LINEAR;194000;19.4;itens_012c80bf-05ec-42f2-859c-8d44a2d29e93.csv
ADAPTADOR 1 Â½ POLEGADAS.;1303251;5;2;ATIVO;UNIDADE;64;32;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
DESFIBRILADOR DE TREINAMENTO;1305291;43;1;ATIVO;UNIDADE;3310;3310;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
CHAVE PARA MANGUEIRA DUPLA TIPO STORZ DE 1 Â½ X 2 Â½.;1307331;3;2;ATIVO;UNIDADE;20;10;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
LÃQUIDO GERADOR DE ESPUMA.;1307332;21;30;ATIVO;GALAO;16293.3;543.11;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
ADAPTADOR 2 Â½ POLEGADAS.;1309345;6;2;ATIVO;UNIDADE;84;42;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
Luva de combate a incendio;1313383;18;30;ATIVO;PAR;23040;768;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
ESGUICHO AUTOMÃTICO 10 A 125 GPM;1313384;8;1;ATIVO;UNIDADE;4500;4500;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
LANTERNA LED ÃNGULO RETO (COTOVELO);1313385;15;5;ATIVO;UNIDADE;6950;1390;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
CONJUNTO IMPERMEÃVEL PARA CHUVA COM CALÃA E CAPA;1313386;25;10;ATIVO;CONJUNTO;2710;271;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
ESGUICHO AUTOMÃTICO 30 A 125 GPM;1319599;9;1;ATIVO;UNIDADE;3350;3350;itens_018683a8-eae6-4a41-a4d2-022c869d979a.csv
PinÃ§a Kelly reta 14cm;1267436;20;150;ATIVO;UNIDADE;3384;22.56;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PINCA KELLY CURVA 14CM;1267438;21;150;ATIVO;UNIDADE;3384;22.56;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PinÃ§a Kelly curva 16cm;1267439;22;20;ATIVO;UNIDADE;534.8;26.74;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Seringa 5ml, sem agulha;1267444;18;50000;ATIVO;UNIDADE;7500;0.15;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura cirurgica reta fina/fina  15cm;1267445;38;150;ATIVO;UNIDADE;2883;19.22;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PinÃ§a crile curva 14 cm;1267453;46;150;ATIVO;UNIDADE;3600;24;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PinÃ§a crile reta 14 cm;1267454;45;150;ATIVO;UNIDADE;3480;23.2;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PINCA KOCHER RETA 14 CM;1267455;44;150;ATIVO;UNIDADE;4512;30.08;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
PinÃ§a Kocher curva 14 CM;1267456;43;150;ATIVO;UNIDADE;4512;30.08;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura cirurgica reta romba/romba  15cm;1267457;41;100;ATIVO;UNIDADE;1922;19.22;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura cirurgica reta fina/romba  15cm;1267458;40;150;ATIVO;UNIDADE;2883;19.22;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura cirurgica curva fina/fina  15cm;1267459;39;150;ATIVO;UNIDADE;2883;19.22;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Porta agulha mayo 14 cm;1267460;32;150;ATIVO;UNIDADE;3133.5;20.89;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura Mayo Stille reta 15 cm;1267461;31;80;ATIVO;UNIDADE;1384;17.3;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
Tesoura Iris reta 12 cm;1267462;30;150;ATIVO;UNIDADE;2422.5;16.15;itens_019a6d5f-6796-4734-a6a2-f5b7dd471d6b.csv
