cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
76.606.839/0001-30;10374606;ACELADOR SECAGEM PU 900ML;1;CRIPEL TINTAS E PECAS LTDA;50;LAT;1600;1450;32;29;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302092;AMARELO CASE ESM SINT AUTOMOTIVO 3,6L;2;CRIPEL TINTAS E PECAS LTDA;20;GAL;1787.6;1580;89.38;79;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10374608;AMARELO NEW HOLLAND ESM SINT AUTOMOTIVO 3,6L;3;CRIPEL TINTAS E PECAS LTDA;35;GAL;3128.3;2765;89.38;79;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302090;BRANCO ACABAMENTO ESM SINT AUTOMOTIVO 3,6L;4;CRIPEL TINTAS E PECAS LTDA;45;GAL;3600;3105;80;69;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302082;BRANCO BANCHISA POLIURETANO 3,6L;5;CRIPEL TINTAS E PECAS LTDA;45;GAL;8856;4950;196.8;110;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302100;BRANCO DIAMANTE FORD POLIURETANO 3,6L;6;CRIPEL TINTAS E PECAS LTDA;5;GAL;984;650;196.8;130;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10374613;CATALISADOR 900ML;7;CRIPEL TINTAS E PECAS LTDA;45;LAT;2655;1980;59;44;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10374614;CATALISADOR RESINA;8;CRIPEL TINTAS E PECAS LTDA;40;UND;80;80;2;2;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302084;CERA 200g;9;CRIPEL TINTAS E PECAS LTDA;60;LAT;1035;780;17.25;13;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10302088;COADOR PINTURA;10;CRIPEL TINTAS E PECAS LTDA;120;UND;84;72;0.7;0.6;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
76.606.839/0001-30;10374616;DISCO ROQUITE N80 A  1200;11;CRIPEL TINTAS E PECAS LTDA;350;UND;682.5;560;1.95;1.6;itensVencedores_0000449d-9b0d-48dc-bcec-e4fc7902ffee.csv
