cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
03.384.574/0001-07;10377175;Vinil Preto Semi-Fosco ou Acetinado (automotivo) 1,22x45M;1;DIVIPLAN LTDA;12;UND;5760;5646;480;470.5;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10377176;Vinil Branco Semi-Fosco ou Acetinado (automotivo) 1,22x45M;2;DIVIPLAN LTDA;12;UND;6000;5460;500;455;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10374481;Vinil Transparente;3;DIVIPLAN LTDA;8;UND;3840;3760;480;470;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10374482;Vinil Jateado Transparente;4;DIVIPLAN LTDA;8;UND;3840;3760;480;470;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10374483;Mascara MÃ©dio Tak;5;DIVIPLAN LTDA;5;UND;2750;2542.5;550;508.5;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10373126;Vinis Vermelho Vivo, Azul Rivera, Amarelo Ouro, Verde Abacat;6;DIVIPLAN LTDA;20;UND;12200;11240;610;562;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
03.384.574/0001-07;10373127;Refletivos Grau Engenharia Branco, Verde, Amarelo, Azul, Ver;7;DIVIPLAN LTDA;20;UND;84000;78300;4200;3915;itensVencedores_0048716b-f3e8-4c12-a4af-486779aa1b15.csv
00.213.778/0001-89;10106282;SERVICOS;1;ARILDO COMERCIO DE PRODUTOS DE TELECOMUNICACAO LTDA;2125;HORA;168873.75;161500;79.47;76;itensVencedores_0071af57-e9be-4c4b-9de5-f2b40b484c8f.csv
05.021.932/0001-34;36658;Cadeira odontologica completa;5;MF DE ALMEIDA & CIA. LTDA;7;UN;140000;99400;20000;14200;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;27345;Compressor odontolÃ³gico em ferro fundido;11;MF DE ALMEIDA & CIA. LTDA;10;UN;40000;48500;4000;4850;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
