ano;numero;dataEmissao;tipo;nomeCredor;valor;origem_arquivo
2021;4976;2021-10-15;Empenhar;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA;72000;empenhos_02330097-45b4-41a8-ba49-1ee84d296ca5.csv
2021;5479;2021-11-08;Empenhar;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA;136800;empenhos_02330097-45b4-41a8-ba49-1ee84d296ca5.csv
2021;7006;2021-10-29;Empenhar;FLORA BIOTECNOLOGIA LTDA.;10000;empenhos_032e7e16-e400-40fc-8c16-3be83ed14c49.csv
2021;5219;2021-10-25;Empenhar;LABORSYS PRODUTOS DIAGNOSTICOS E HOSPITALARES;15342.5;empenhos_055bd6ea-d2dd-442b-93af-145b0e077dc7.csv
2021;5220;2021-10-25;Empenhar;DISTRILAB DISTRIBUIDORA DE EQUIPAMENTOS E INSUMOS;5500;empenhos_055bd6ea-d2dd-442b-93af-145b0e077dc7.csv
2021;5221;2021-10-25;Empenhar;J.R. EHLKE & CIA LTDA;6000;empenhos_055bd6ea-d2dd-442b-93af-145b0e077dc7.csv
2021;4858;2021-10-07;Empenhar;ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA;46270.84;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4885;2021-10-08;Empenhar;DENTAL OPEN - COMERCIO DE PRODUTOS ODONTOLOGICOS L;65071.2;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4884;2021-10-08;Empenhar;MF DE ALMEIDA & CIA. LTDA;12197.05;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4879;2021-10-08;Empenhar;BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA;3495;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4882;2021-10-08;Empenhar;ODONTOMEDI - PRODUTOS ODONTOLOGICOS E HOSPITALARES;57505.39;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4883;2021-10-08;Empenhar;ODONTOSUL LTDA;33779.15;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4881;2021-10-08;Empenhar;MAYCON WILL EIRELI - ME;9900;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;4880;2021-10-08;Empenhar;MARCELO GOMES & CIA LTDA;5726;empenhos_20cb22f4-0f55-49f6-aefb-65f97c0f5a21.csv
2021;6153;2021-09-21;Empenhar;MARCOS FERNANDES MATERIAIS DE CONSTRUCAO LTDA - ME;8003.94;empenhos_2360486d-54b5-4921-acd9-3a94478dce9a.csv
