tipo;descricao;arquivo;origem_arquivo
Aditamento;Aditivo 2 - Aditivo de Prazo;72d08a1b-9138-4ff7-be55-69e8cd97a935;documentosRelacionados_00a6921f-767e-4b38-97d8-9997f71f227a.csv
Aditamento;Aditivo 3 - Aditivo de Reajuste;aa019314-1fa2-4c01-bfe6-ad0ef8c5a9da;documentosRelacionados_00a6921f-767e-4b38-97d8-9997f71f227a.csv
Apostilamento;TApostilamento01 - Cont. 018.FCC.2019- reajuste - SANDRO.docx;837be46c-8b6c-4d40-92e8-772ac0de5fc3;documentosRelacionados_00a6921f-767e-4b38-97d8-9997f71f227a.csv
Aditamento;TA04 Cto. 018.2019 - Prazo de vigÃªncia - Sandro Roberto Faraco.docx;2188fccd-042d-46b4-a8d8-06e5fb94f66f;documentosRelacionados_00a6921f-767e-4b38-97d8-9997f71f227a.csv
Aditamento;TA05 Cto. 018.2019 - Prazo de vigÃªncia - Sandro Roberto Far.docx;1a74a10f-44e1-4237-a15f-073e3eaf3846;documentosRelacionados_00a6921f-767e-4b38-97d8-9997f71f227a.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);de040f6c-9452-4079-be87-99fd4ef1435b;documentosRelacionados_069803d0-f1c9-41b5-95ee-8840e19d0fa0.csv
Aditamento;Aditivo 4 - Aditivo de AlteraÃ§Ã£o de outras ClÃ¡u...;c7b9d1ca-ba9d-4175-b272-c19741f4eaf6;documentosRelacionados_069803d0-f1c9-41b5-95ee-8840e19d0fa0.csv
Aditamento;Aditivo 5 - Aditivo de Prazo;59fa80b8-8f29-45b1-a9a7-aa5f645f9884;documentosRelacionados_069803d0-f1c9-41b5-95ee-8840e19d0fa0.csv
Aditamento;TA06 -Cto. 068.FMS.2019- InclusÃ£o portaria.doc;95d2a2c6-c2b0-4ba1-a882-fc7567036cbc;documentosRelacionados_069803d0-f1c9-41b5-95ee-8840e19d0fa0.csv
Aditamento;TA07 - Cto. 068.FMS.19- AlteraÃ§Ã£o Contratual.docx;4e45ecb5-473d-4737-a995-5f7e1305802e;documentosRelacionados_069803d0-f1c9-41b5-95ee-8840e19d0fa0.csv
Aditamento;Aditivo 2 - Aditivo de Prazo;6b4c6bd4-933b-409c-aa9e-1c9b0f788c3c;documentosRelacionados_08616480-58df-4e7f-84fa-921772ed5dd8.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);f6ad4ea9-23a5-4a69-9673-002cba8579ac;documentosRelacionados_08616480-58df-4e7f-84fa-921772ed5dd8.csv
Aditamento;TA03 - Cto. 350.PMC.2019 PR 309.PMC.2019 - ManutenÃ§Ã£o Equip 4BBM - DEATEC.docx;a333e2f9-2d96-4485-84e2-0501160bd37e;documentosRelacionados_08616480-58df-4e7f-84fa-921772ed5dd8.csv
Aditamento;TA04 - Cto. 350.PMC.2019 PR 309.PMC.2019 - ManutenÃ§Ã£o Equip 4BBM -.docx;87a8b1e0-0409-4ff5-a001-a905c45740bb;documentosRelacionados_08616480-58df-4e7f-84fa-921772ed5dd8.csv
Aditamento;Aditivo 6 - Aditivo de Prazo e Valor (AcrÃ©scimo);6be32863-2953-4187-9552-30c2bfed286e;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Aditamento;Aditivo 7 - Aditivo de Valor (AcrÃ©scimo);c8738005-ab04-4579-9408-c0cae46cdd5d;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Apostilamento;Apostilamento 1 - Reajuste de PreÃ§o Previsto no...;df037962-20d2-4e98-9e6e-d1dde67708f0;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Apostilamento;TApostilamento01 - Cont. 011.PMC.2019- reajuste - GENTE.docx;e71a4ccd-f05a-4117-974f-b2cd3b2e693c;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Aditamento;Aditivo 8 - Aditivo de Prazo e Valor (AcrÃ©scimo);1739bad0-be12-48cb-95f4-0731d7d88fdb;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Aditamento;TA08 Cto. 011.2019 Pr 392.PMC.2018 - Prazo de execuÃ§Ã£o - PORTO SEGURO.docx;bd66c271-ef18-48bf-b55f-04ccedd7936f;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Aditamento;Aditivo 9 - Aditivo de Valor (AcrÃ©scimo);302551fe-772d-40e5-812c-46134266cc29;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Aditamento;TA09- Cont.011.2019 - Acrescimo QUANTITATIVO - Porto Seguro.docx;a6e7a904-bc94-438e-9230-ee77a958e917;documentosRelacionados_0e763406-7e2f-44cf-890a-54a0cdb233b3.csv
Contrato;Contrato 17/2019;ab7bf9c5-10f3-4711-9a9d-e75a346c8348;documentosRelacionados_0faa524c-daf1-4988-ae7a-0b58e56a3ca2.csv
Aditamento;Aditivo 6 - Aditivo de Prazo;5b0d6ab5-b3a0-4c48-bc62-097d278a7b17;documentosRelacionados_135752b9-25ac-40d8-b76b-05a665139efd.csv
Aditamento;Aditivo 4 - Aditivo de Prazo e Valor (AcrÃ©scimo);e7bbc6b9-8fde-4a32-b096-c4cc125349dd;documentosRelacionados_1a21abd4-66a5-4312-a95a-7721814e5d92.csv
Aditamento;Aditivo 5 - Aditivo de Prazo e Valor (AcrÃ©scimo);c9fb460c-0937-42df-b925-929af60510f6;documentosRelacionados_1a21abd4-66a5-4312-a95a-7721814e5d92.csv
Aditamento;TA05 - Cont. 015.19 - ProrrogaÃ§Ã£o de vigÃªncia - MESI MÃVEIS.docx;c9cb29f3-274c-4445-95c2-49aabf7b3a52;documentosRelacionados_1a21abd4-66a5-4312-a95a-7721814e5d92.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);456fc202-4b28-4060-9cc6-7f9808c1828a;documentosRelacionados_233b2654-051b-4b9e-a414-b3378def0637.csv
Aditamento;TA05 - Cont. 024.19 - prorrogaÃ§Ã£o de vigÃªncia - DUDA.docx;a9c32bbf-cf62-477e-aa74-5ad4e0101f1a;documentosRelacionados_233b2654-051b-4b9e-a414-b3378def0637.csv
Aditamento;TA04 - Cont. 024.19 - prorrogaÃ§Ã£o de vigÃªncia - DUDA.docx;5866e2b9-1182-44b9-b503-76bb30bde81e;documentosRelacionados_233b2654-051b-4b9e-a414-b3378def0637.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);a452e1f8-9ca9-4b09-a74a-43c5c68d6385;documentosRelacionados_263442c1-4d73-4473-b14c-01414168a410.csv
Aditamento;Aditivo 4 - Aditivo de Prazo e Valor (AcrÃ©scimo);0dcc0a17-7a87-415f-80c2-3dc5b6765bb2;documentosRelacionados_263442c1-4d73-4473-b14c-01414168a410.csv
Aditamento;TA04 - Cto. 396.19 - ProrrogaÃ§Ã£o VigÃªncia - G2D.docx;48b1464c-2046-4a14-8178-d2c0131243c5;documentosRelacionados_263442c1-4d73-4473-b14c-01414168a410.csv
RescisÃ£o;RescisÃ£o;68ccf22c-6eb7-4055-b667-de96fd4f8cc8;documentosRelacionados_263442c1-4d73-4473-b14c-01414168a410.csv
RescisÃ£o;TA05 - Cto.396.PMC.2019 - RescisÃ£o.docx;b9991f0c-6d19-438a-836a-bc711a0619e2;documentosRelacionados_263442c1-4d73-4473-b14c-01414168a410.csv
Termo de contrataÃ§Ã£o;Termo de contrato nÂº 79/2019 (Seq. 3123);22a26519-5f47-4795-b079-18732efb71c1;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Termo de contrataÃ§Ã£o;Cto. 079.FMS.2019 ChP 054.FMS.2019 - LABORATORIO MONTEIRO.pdf;f37da52a-f9c5-4e0b-840d-55d680025097;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;TA01 - Cto. 079.19 - ProrrogaÃ§Ã£o de VigÃªncia - LAB MONTEIRO.docx;c8fa5d65-42a8-4209-8b6a-99814458b560;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;TA02 - Cto. 079.19 - ProrrogaÃ§Ã£o de VigÃªncia - LAB MONTEIRO.docx;f83e9e8c-311d-459a-808b-e0454365d5c3;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;TA03 - Cto. 079.19 - ProrrogaÃ§Ã£o de VigÃªncia - LAB MONTE.docx;395e1b4c-f50e-4c05-9eeb-c9a1069d82d1;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;TA04 - Cto. 079.19 - ProrrogaÃ§Ã£o de VigÃªncia - LAB MO.docx;f50ab6af-068e-4b0c-be3b-9861c0c09651;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;TA05 -Cto. 079.FMS.2019 - Reequilibrio de PreÃ§os.docx;99551b3f-4480-47e0-9997-a4a0beb4f80f;documentosRelacionados_279f4c82-2e92-4488-bd20-37adbfe09083.csv
Aditamento;Aditivo 6 - Aditivo de Valor (SupressÃ£o);4d1ebbbc-4075-414d-9585-be6bcb4ca6ec;documentosRelacionados_291d60a0-a508-4d4c-9b26-fd1f39168d1f.csv
Aditamento;Aditivo 2 - Aditivo de Prazo;163fd233-8de3-437c-8e97-16e1d8f104c7;documentosRelacionados_2f91b981-d231-4a81-9c1b-921fbb64f9a2.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);4ff5275f-b008-4778-94d2-cb5ea45208ae;documentosRelacionados_2f91b981-d231-4a81-9c1b-921fbb64f9a2.csv
