tipo;data;meioDivulgacao;origem_arquivo
Extrato;2020-04-20;Internet;publicacoes_005efdea-4ddd-498e-9b27-2959b3113d98.csv
Extrato;2020-07-17;Internet;publicacoes_0080e68e-1dea-48bc-8245-a28fdeac441c.csv
Extrato;2020-07-23;Internet;publicacoes_03461791-5c43-4542-8972-e18fc4fd873d.csv
Aditivo;2021-09-20;DiÃ¡rio oficial do municÃ­pio;publicacoes_03693a9c-5dc6-4787-b3f8-08f44885aeaf.csv
Extrato;2020-12-28;Internet;publicacoes_0387832c-e154-4da4-afad-57ec130d77b2.csv
Extrato;2020-10-23;Internet;publicacoes_03d18a0f-3e5c-4541-ab5e-5d8458299ae1.csv
Extrato;2020-02-20;Internet;publicacoes_04054f3a-b4ae-461b-b445-9f5e844a1e9c.csv
Extrato;2020-12-08;Internet;publicacoes_04be97ce-89fc-4504-a4d8-7176d819f658.csv
Extrato;2020-08-27;Internet;publicacoes_04e373f7-994e-4440-bc16-b4242802c023.csv
Extrato;2020-11-23;Internet;publicacoes_0628b657-c5c3-4060-b6a5-ea425f46d2d3.csv
Extrato;2020-07-30;Internet;publicacoes_084e66d5-eaf7-4cba-9144-311026ddc94d.csv
Extrato;2020-12-22;Internet;publicacoes_0855f9b6-5cf4-48db-a5cd-d3a7395b1ae7.csv
Extrato;2020-07-20;Internet;publicacoes_08b735a8-6eb1-4aae-bc2e-10d6b3cd1511.csv
Extrato;2020-03-20;Internet;publicacoes_091896a8-5bb2-40d7-8b74-ec69281360bc.csv
Extrato;2020-11-05;Internet;publicacoes_09fdc532-9ab3-4f7e-aef3-37e4fcb3b855.csv
Extrato;2020-08-19;Internet;publicacoes_0a329a0c-abfe-4e42-85f8-45ff0dc8f5b8.csv
Extrato;2020-06-20;Internet;publicacoes_0d964798-fd85-4760-aafe-b38807f3c6b6.csv
Aditivo;2022-03-01;Mural pÃºblico;publicacoes_0f63a4dc-0827-4c94-b1ca-78f85d2aa318.csv
Aditivo;2022-12-21;Mural pÃºblico;publicacoes_0f63a4dc-0827-4c94-b1ca-78f85d2aa318.csv
Aditivo;2024-01-02;Mural pÃºblico;publicacoes_0f63a4dc-0827-4c94-b1ca-78f85d2aa318.csv
Extrato;2020-05-20;Internet;publicacoes_106dcd5a-0c40-4aef-bd5f-ed50648802d7.csv
Extrato;2020-08-17;Internet;publicacoes_11d1fb18-febd-4d55-a354-7e85930bff87.csv
Extrato;2020-10-05;Internet;publicacoes_12212c0e-4462-4468-89aa-2864bdba7bcf.csv
Extrato;2020-12-26;Internet;publicacoes_12d23efc-784a-45f9-9b15-2bd0281a9199.csv
Extrato;2020-12-16;Internet;publicacoes_13fcbcc8-4b04-495b-8824-7b332ea4e318.csv
Extrato;2020-11-11;Internet;publicacoes_14dc7bac-736f-4f9f-a25a-7c55304c9aed.csv
Extrato;2020-12-23;Internet;publicacoes_1525ba72-4fc1-43cd-ae82-81a2e7b35b84.csv
Extrato;2020-09-03;Internet;publicacoes_160c654a-8ac7-4012-9ead-4920e13ee21b.csv
Extrato;2020-12-30;Internet;publicacoes_17715bfc-b8a8-4849-bd27-93ecebe4d529.csv
Extrato;2020-08-12;Internet;publicacoes_26ec3f0d-4172-4519-a10f-59f37c6f3781.csv
Extrato;2020-12-19;Internet;publicacoes_286b184c-3595-4ccc-8961-295b6e52b1ad.csv
Extrato;2020-08-28;Internet;publicacoes_290b0bb4-5eab-45cb-8902-de38c1513150.csv
Extrato;2020-09-01;Internet;publicacoes_2b87811a-8209-4c4a-a55a-82e27d92d28b.csv
Extrato;2020-12-29;Internet;publicacoes_2e93fb09-bed0-4f34-9083-c299aafee6c5.csv
Extrato do Contrato;2020-07-20;Internet;publicacoes_2f01e364-0bc0-420e-89ed-2073547ae00c.csv
Extrato;2020-08-06;Internet;publicacoes_2f56eb5d-e746-46ba-b73f-114fbe5490c5.csv
Extrato;2020-02-27;Internet;publicacoes_38498179-c211-4d9d-8f00-84b396ede31c.csv
Extrato;2020-09-15;Internet;publicacoes_3d55021d-a1f2-4fac-a834-034b6a34a226.csv
Extrato;2020-07-15;Internet;publicacoes_3f67711d-4c5e-414e-aa81-dd9cdba0e3db.csv
Extrato;2020-09-25;Internet;publicacoes_3fb0d74a-fc15-49fc-941f-10b6f0c7ddc8.csv
Extrato;2020-10-19;Internet;publicacoes_414f8311-96df-471a-ab01-f4d5ec198a9e.csv
Extrato;2020-10-02;Internet;publicacoes_42f0c30e-05f0-4cf0-b981-9cc1f94c6d7b.csv
Extrato;2020-09-28;Internet;publicacoes_43f83ecc-f8ee-4770-9cb5-6e973e55f519.csv
Extrato;2021-03-31;Internet;publicacoes_554ca259-c72f-4869-b911-ace76fa5f427.csv
Extrato;2020-11-30;Internet;publicacoes_59786e38-7d52-4991-8351-f75b3e5d5a67.csv
Extrato;2020-08-20;Internet;publicacoes_5dded188-ef63-4165-a55b-edbcfb9e1e2f.csv
Extrato;2020-11-27;Internet;publicacoes_5ee63893-430b-49c6-bab7-a0e186fafefe.csv
Extrato;2020-08-05;Internet;publicacoes_6379b25e-1a56-4160-9039-075f1f0c9aeb.csv
Extrato;2020-09-30;Internet;publicacoes_643ea443-2aa3-490a-9928-e57a4fcd31e3.csv
Extrato;2020-08-25;Internet;publicacoes_65da8de8-7bcf-4859-9405-b9402592e800.csv
Extrato do Contrato;2020-02-20;Internet;publicacoes_66d514e8-6ef8-4224-9d0b-02031df943b7.csv
Extrato;2020-10-20;Internet;publicacoes_7032db24-abf7-49e6-82f9-9ab3ec4414f1.csv
Extrato;2020-09-11;Internet;publicacoes_73539802-1ca4-402b-988e-5032140ea527.csv
Extrato;2020-07-21;Internet;publicacoes_73952549-0877-4329-8458-34adbbdb0538.csv
Extrato;2020-11-13;Internet;publicacoes_7b4fbf02-e252-4e2b-8964-bae5e55042dd.csv
Extrato;2020-09-17;Internet;publicacoes_7ee82a57-6372-42db-bcf9-f8675cc30450.csv
Extrato;2020-10-07;Internet;publicacoes_82614118-1785-4200-966d-c73ca9ac73f6.csv
Extrato do Contrato;2020-10-02;Internet;publicacoes_833e791f-f25c-41fc-b355-83ede75b5af3.csv
Extrato;2020-09-29;Internet;publicacoes_88077587-0c67-40d1-9603-701210e01a03.csv
Extrato;2020-10-08;Internet;publicacoes_8cfd0743-ae85-46b4-a686-227ebc8638f3.csv
Extrato;2020-09-18;Internet;publicacoes_927b7c67-c38c-454a-be3b-7d8c127d4422.csv
Extrato;2020-09-20;Internet;publicacoes_9656853d-8028-4f82-a6cb-5d1315517101.csv
Extrato;2020-02-26;Internet;publicacoes_9e8698f5-2ef3-48fb-8a72-3b220c7535c0.csv
Aditivo;2021-12-08;DiÃ¡rio Oficial EletrÃ´nico;publicacoes_9fe02cb3-a2d9-4e30-b843-40510941e7ad.csv
Extrato;2020-09-02;Internet;publicacoes_a0d36bec-72d1-47ac-ab74-b601da89e520.csv
Extrato;2020-12-14;Internet;publicacoes_a36deba0-74b0-4f15-9108-9b70f25d73eb.csv
Extrato;2021-01-01;Internet;publicacoes_a3721daf-921f-4e0d-9b8b-acd8cf3afd7e.csv
Extrato;2020-10-06;Internet;publicacoes_a660fb6e-7f3f-4d14-b1bf-f421b94304ac.csv
Extrato do Contrato;2020-03-20;Internet;publicacoes_a93d609f-ada8-490e-a5b8-7645a5bcb81e.csv
Aditivo;2020-12-20;Internet;publicacoes_a93d609f-ada8-490e-a5b8-7645a5bcb81e.csv
Extrato do Contrato;2020-04-20;Internet;publicacoes_ab82cd0c-903f-4fea-a516-2c05e12627bd.csv
Extrato;2020-09-10;Internet;publicacoes_afaadb53-0ada-455a-9645-0f2eaadad2fc.csv
Extrato do Contrato;2020-11-05;Internet;publicacoes_b1ca1308-c518-4d95-9dfa-5debb057ecf5.csv
Extrato;2020-12-15;Internet;publicacoes_b78b6d3b-da19-49d4-9427-013ee5464ea6.csv
Extrato;2020-12-11;Internet;publicacoes_b79fff82-9670-44fa-8282-1d7b15b96183.csv
Extrato;2020-12-22;Jornal com circulaÃ§Ã£o nacional;publicacoes_c1128f58-e92f-487c-9402-461c934672ba.csv
Extrato;2020-08-21;Internet;publicacoes_c4aaa059-9a63-4fe4-87f4-cdd6fada4f05.csv
Extrato;2020-07-27;Internet;publicacoes_c5052438-517e-40eb-b621-e7f7360b3e55.csv
Extrato;2020-08-10;Internet;publicacoes_c896c11d-55d2-4830-9c72-73b52a98f9fd.csv
Extrato;2020-10-29;Internet;publicacoes_ccd8529a-e285-46c7-a019-5a6637b78eaf.csv
Extrato do Contrato;2020-07-15;Internet;publicacoes_d315b120-623c-4a4b-95bd-083637be409b.csv
Extrato;2020-08-03;Internet;publicacoes_d3d9c9ff-1236-4f1e-b413-f558f8102bfa.csv
Extrato;2020-09-23;Internet;publicacoes_ed4b7557-8e32-4909-b14f-48dbf4bce445.csv
Extrato;2020-04-29;Internet;publicacoes_ef1dec2b-0315-402b-9633-0945e125b553.csv
Extrato;2020-07-20;DiÃ¡rio oficial do municÃ­pio;publicacoes_f9f0ea0a-4c8e-4bd9-a946-d96cd5429ff4.csv
